Gene_ID	ES_rep1	ES_rep2	TN_rep1	TN_rep2
72567	9817	3232	2952	2242
20779	328	205	351	424
277854	643	264	172	286
15361	39	23	4	0
70834	1352	466	2990	3399
228662	185	56	126	155
12914	534	192	339	722
407814	0	0	0	0
108058	156	79	892	900
66408	171	98	135	146
20679	37	11	147	275
56361	284	178	60	64
16876	0	4	2	0
140477	1	1	0	0
18575	9	3	88	62
18933	1	3	43	87
27371	0	0	0	0
106585	846	382	2444	2106
243753	2	0	2	1
433492	0	0	0	0
545366	0	0	0	0
545428	40	14	83	81
17132	8	2	96	123
268345	0	1	126	104
67171	64	34	133	163
16522	0	0	20	35
75692	96	22	12	26
19727	62	35	42	63
71834	497	192	211	182
22778	11	6	2	5
22670	338	134	187	215
54725	722	330	1787	1835
17082	0	0	2	2
217648	41	22	25	32
380863	0	0	0	0
382275	0	0	0	0
213491	548	374	266	258
109225	0	0	0	0
382083	2	0	9	2
229603	639	238	73	111
67501	955	321	1062	1181
76025	127	101	220	309
23834	526	291	26	41
74006	2480	1004	1114	1151
67713	40	18	14	15
56205	996	523	1431	1286
12499	60	33	117	120
114249	30	7	48	87
18707	147	71	38	71
208076	16	5	80	94
20491	1	0	9	15
104681	149	48	94	154
22367	1487	677	170	158
14924	424	203	1202	1378
19188	106	78	50	51
237877	2048	696	182	308
231396	0	0	0	1
245469	1511	892	1265	871
381924	0	0	0	0
382018	37	24	798	995
382038	2676	1149	176	195
384569	7	3	31	250
381338	3	3	1133	1203
207806	294	115	183	288
72640	601	228	220	329
574429	0	0	0	0
11907	520	257	683	582
74464	66	39	213	173
574428	3	3	0	3
545007	2	1	3	1
232966	3	1	0	0
237898	1083	380	985	1265
214158	0	0	0	0
432572	539	324	267	295
380683	2	2	2	0
280408	0	2	10	5
214403	0	0	0	0
594844	1	0	19	8
224902	346	103	92	189
207352	578	165	265	367
227619	522	305	418	413
435653	0	0	0	0
333088	3	1	0	2
243376	0	0	0	0
245827	39	23	0	2
52535	72	41	81	97
76014	665	345	157	141
223722	113	72	76	65
595136	0	3	0	0
234911	0	0	0	0
235033	0	0	0	0
238011	0	0	0	0
241769	0	0	0	0
236576	4	1	56	47
380924	0	0	3	6
432763	4	11	24	25
435845	0	0	0	0
18857	0	0	0	0
245474	2281	813	76	108
381072	0	1	1	3
102954	13	8	102	68
606496	138	75	165	227
380669	1481	398	182	247
107733	53	59	130	100
233789	3492	1012	955	1826
268782	0	0	0	0
12097	0	0	0	0
18613	518	278	13	16
73182	1	0	6	8
319613	3	3	508	447
